AID,AName,Description,Benefits,Contraindications,Breathing,awareness,You tube Vdo link,Photo,References,Variations,Level
43,Shavasana (corpse pose),"Lie flat on the back with the arms about 15 em away from the body, palms facing upward. A thin pillow or folded cloth may be placed behind the head to prevent discomfort. Let the fingers curl up slightly. Move the feet slightly apart to a comfortable position and close the eyes. The head and spine should be in a straight line. Make sure the head does not fall to one side or the other. Relax the whole body and stop all physical movement. Become aware of the natural breath and allow it to become rhythmic and relaxed. Mter some time, again become aware of the body and surroundings, and gently and smoothly release the posture.","This asana relaxes the whole psycho-physiological system. It should ideally be practised before sleep; before, during and after asana practice, particularly after dynamic exercises such as surya namaskara; and when the practitioner feels physically and mentally tired. It develops body awareness. When the body is completely relaxed, awareness of the mind increases, developing pratyahara.",,"Natural and relaxed, or begin to count the breaths from number 27 backwards to zero. Mentally repeat, ""I am breathing in 27, I am breathing out 27, I am breathing in 26, I am breathing out 26"", and so on, back to zero. If the mind wanders and the next number is forgotten, bring it back to the counting and start again at 27. If the mind can be kept on the breath for a few minutes, the body will relax.","Physical - first on relaxing the whole body, then on the breath. Spiritual - on ajna chakra. Do not move the body at all during the practice 
as even the slightest movement disturbs the practice. 
A personal mantra may be repeated with every inhalation 
and exhalation. 
For maximum benefit, this technique should be performed 
after a hard day's work, before evening activities, or to 
refresh the body and mind before sitting for meditation, 
or just before sleep.",,,,,Beginners
44,Advasana (reversed corpse pose),"Lie on the stomach. Stretch both arms above the head with the palms facing downward. The forehead should be resting on the floor. Relax the whole body in the same way as described for shavasana. If there is difficulty breathing or a sense of suflocation is experienced, a pillow may be placed under the chest. After some time, again become aware of the body and surroundings, and gently and smoothly release the posture.","Recommended for those with slipped disc, stiff neck and stooping figure.",,: Natural and rhythmic. The number of breaths may be counted as in shavasana while gently pushing the abdomen against the floor.,"Physical - on relaxing the whole body, and on the breath. Spiritual - on ajna or manipura chakra.",,,,,Beginners
45,Jyestikasana (superior posture),"Lie flat on the stomach with the legs straight and the forehead resting on the floor. Interlock the fingers and place the palms on the back of the head or neck. Allow the elbows to rest on the floor. Relax the whole body and become aware of the breathing process as described for shavasana. After some time, again become aware of the body and surroundings, and gently and smoothly release the posture.","This asana is helpful for all spinal complaints, especially cervical spondylitis and stiff neck or upper back.",,Natural and rhythmical.,"Physical - on relaxing the whole body, feeling the soothing warmth of the palms melting away the tensions in the neck and related areas, and feeling the breath. Spiritual - on ajna or manipura chakra.",,,,"This asana may also be performed with the fingers of both hands interlocked and placed under the forehead, palms facing up.",Beginners
46,Makarasana (crocodile pose),"Lie flat on the stomach. Raise the head and shoulders and rest the chin in the palms of the hands with the elbows on the floor. Keep the elbows together for a more pronounced arch to the spine. Separate the elbows slightly to relieve excess pressure on the neck. In makarasana the effect is felt at two points: the neck and the lower back. If the elbows are too far in front, tension will be felt in the neck; if they are drawn too close to the chest, tension will be felt more in the lower back. Adjust the position of the elbows so that these two points are equally balanced. The ideal position is when the whole spine is equally relaxed. Relax the whole body and close the eyes. After some time, again become aware of the body and surroundings, and gently and smoothly release the posture.","This asana is very effective for people suffering from slipped disc, sciatica, and certain types of lower back pain. They should remain in this asana for extended periods of time as it encourages the vertebral column to resume its normal shape and releases compression of the spinal nerves. Asthmatics and people who have any other lung ailments should practise this simple asana regularly with breath awareness as it allows more air to enter the lungs.","Those with back conditions, such as exaggerated lumbar curve, should not practise this asana if any pain is experienced.","Natural and rhythmic, or practise inhaling, moving the awareness up along the spine from the tail bone to the neck and exhaling, bringing the awareness back down from the neck to the tail bone. Feel the breath moving up and down the spine. This will quickly activate the healing energies in this area. For lower back pain due to tension, concentrate on this area and feel it expanding and relaxing with every inhalation and exhalation","Physical - with concentration on the lower back, and relaxing the whole body, and on the breathing process. Spiritual - on manipura chakra.",,,,,Beginners
47,Matsya Kridasana (flapping fish pose),"Lie on the stomach with the fingers interlocked under the head. Bend the left leg sideways and bring the left knee close to the ribs. The right leg should remain straight. Swivel the arms to the left and rest the left elbow near the left knee. Rest the right side of the head on the crook of the right arm, or a little further down the arm for more comfort. Relax in the final pose and, after some time, change sides. This position resembles a flapping fish. 91 Mter some time, again become aware of the body and sun·oundings, and gently and smoothly release the posture.","This asana stimulates digestive peristalsis. It relieves sciatic pain by relaxing the nerves in the legs. People for whom the practice of fotward bending asanas is not recomtnended may practise matsya kridasana as a counterpose after backward bending asanas. It relaxes tension in the perineum. In the later months of pregnancy, lying on the back may cause pressure over major veins and block the circulation. In such circumstances, this posture is ideal for relaxing, sleeping or practising yoga nidra. The bent knee and the head may. be supported on a pillow for further comfort.",,Normal and relaxed in the static pose.,"Physical - on relaxing the whole body, and on the breath. Spiritual - on manipura chakra.",,,,,Beginners
48,Sukhasana (easy pose,"Sit with the legs straight in front of the body. Bend one leg and place the foot under the opposite thigh. Bend the other leg and place the foot under the opposite thigh. Place the hands on the knees in chin or jnana mudra. Keep the head, neck and back upright and straight, but without strain. Close the eyes. Relax the whole body. The arms should be relaxed and not held straight. Sukhasana is a relaxing posture which may be 
used after extended periods of sitting in siddhasana or 
padmasana. 
Although sukhasana is said to be the simplest meditation 
posture, it is difficult to sustain for long periods of time 
unless the knees are close to the ground or on the ground. 
OtheiWise most of the body weight is supported by the 
96 buttocks and backache develops. The other meditation 
asanas create a larger and therefore steadier area of 
support. ",Sukhasana is the easiest and most comfortable of the meditation postures. It can be utilized without ill effect by persons who are unable to sit in the more difficult meditation postures. It facilitates mental and physical balance without causing strain or pain.,,,,,,,"For those who are extremely stiff, sukhasana may be performed sitting cross-legged with a belt or cloth tied around the knees and lower back. Hold the spine upright. Concentrate on the physical balance and equalizing the weight on the right and left side of the body. A light, spacey feeling may be experienced. While maintaining the posture, place the hands on the knees in chin or jnana mudra.",Beginners
49,Ardha Padmasana (half lotus pose),"Sit with the legs straight in front of the body. Bend one leg and place the sole of the foot on the inside of the opposite thigh. Bend the other leg and place the foot on top of the opposite thigh. 97 Without straining, try to place the upper heel as near as possible to the abdomen. Adjust the position so that it is comfortable. Place the hands on the knees in either chin or jnana mudra. Keep the back, neck and head upright and straight. Close the eyes and relax the whole body.",The same benefits as given for padmasana but at a reduced level.,Those who suffer from sciatica or knee problems should not perform this asana,,,,,,,Beginners
50,Padmasana (lotus pose),"Sit with the legs straight in front of the body. Slowly and carefully bend one leg and place the foot on top of the opposite thigh. The sole should face upward and the heel should be close to the pubic bone. When this feels comfortable, bend the other leg and place the foot on top of the opposite thigh. 98 Both knees should, ideally, touch the ground in the final position. The head and spine should be held upright and the shoulders relaxed. Place the hands on the knees in chin or jnana mudra. Relax the arms with the elbows slightly bent and check that the shoulders are not raised or hunched. Close the eyes and relax the whole body. Observe the total posture of the body. Make the necessary adjustments by moving forward or backward until balance and alignment are experienced. Perfect alignment indicates the correct posture of padmasana.","Padmasana allows the body to be held completely steady for long periods of time. It holds the trunk and head like a pillar with the legs as the firm foundation. As the body is steadied, the mind becomes calm. This steadiness and calmness is the first step towards real meditation. Padmasana directs the flow of prana from mooladhara chakra in the perineum to sahasrara chakra in the head, heightening the experience of meditation. This posture applies pressure to the lower spine, which has a relaxing effect on the nervous system. The breath becomes slow, muscular tension is decreased and blood pressure is reduced. The normally large blood flow to the legs is redirected to the abdominal region. This activity also stimulates the digestive process.",Those who suffer from sciatica or weak or injured knees should not perform this asana. This asana should not be attempted until flexibility of the knees has been developed through practice of the pre-meditation asanas. It is not advisable during pregnancy as the circulation in the legs is reduced.,,,,,,,Beginners
51,Siddhasana (accomplished pose for men),"Sit with the legs straight in front of the body. Bend the right leg and place the sole of the foot flat against the inner left thigh with the heel pressing the perineum (the area midway between the genitals and anus). Bend the left leg. Push the toes and the outer edge of the left foot into the space between the right calf and thigh muscles. If necessary, this space may be enlarged slightly by using the hands or temporarily adjusting the position of the right leg. Place the left ankle directly over the right ankle so that the ankle bones are touching and the heels are one above the other. Press the pubis with the left heel directly above the genitals. The genitals will therefore lie between the two heels. If this last position is too difficult, simply place the left heel as near as possible to the pubis. Grasp the right toes and pull them up into the space between the left calf and thigh. Again adjust the body so that it is comfortable. Sit on top of the right heel. This is an important aspect of 100 siddhasana. Adjust the body until it is comfortable and the pressure of the heel is firmly applied. The legs should now be locked, with the knees touching the ground and the left heel directly above the right heel. Make the spine erect and feel as though the body is fixed on the floor. Place the hands on the knees in jnana, chin or chinmaya mudra. Close the eyes and relax the whole body. Siddhasana may be performed with either leg 
uppermost. Many people experience discomfort due to 
the pressure applied where the ankles cross each other. If 
necessary, place a folded cloth or piece of sponge between 
the legs at this point. At first the pressure at the perineum 
may be uncomfortable to maintain, but with practice this 
will be eased.","Siddhasana directs the energy from the lower psychic centres upward through the spine, stimulating the brain and calming the entire nervous system. The position of the lower foot at the perineum presses mooladhara chakra, stimulating moola bandha, and the pressure applied to the pubic bone presses the trigger point for swadhisthana, automatically activating vajroli/sahajoli mudra. These two psycho-muscular locks redirect sexual nervous impulses back up the spinal cord to the brain, establishing control over the reproductive hormones which is necessary in order to maintain brahmacharya for spiritual purposes. Prolonged periods in siddhasana result in noticeable tingling sensations in the mooladhara region, which may last for ten to fifteen minutes. This is caused by a reduction in the blood supply to the area and by a rebalancing of the pranic flow in the lower chakras. This posture redirects blood circulation to the lower spine and abdomen, toning the lumbar region of the spine, the pelvis and the abdominal organs, and balancing the reproductive system and the blood pressure.",Siddhasana should not be practised by those with sciatica or sacral infections.,,,,,,,Beginners
52,Siddha Yoni Asana (accomplished pose for women),"Sit with the legs straight in front of the body. Bend the right leg, placing the sole of the foot flat against the inner left thigh and the heel firmly against the groin. Adjust the body position so that there is comfortable pressure of the right heel. Bend the left leg and wedge the left toes down into the space between the right calf and thigh. Grasp the toes of the right foot and pull them up into the space between the left calf and thigh. The left heel is above the right heel and may exert a light pressure against the public bone. 102 Again adjust the position so that it is comfortable. Ensure that the knees are firmly on the ground. Make the spine fully erect and straight as though it were planted solidly in the earth. Place the hands on the knees is chin, jnana or chinmaya mudra. Close the eyes and relax the whole body.","Siddha Yoni Asana directs the energy from the lower psychic centres upward through the spine, stimulating the brain and calming the entire nervous system. The position of the lower foot at the perineum presses mooladhara chakra, stimulating moola bandha, and the pressure applied to the pubic bone presses the trigger point for swadhisthana, automatically activating vajroli/sahajoli mudra. These two psycho-muscular locks redirect sexual nervous impulses back up the spinal cord to the brain, establishing control over the reproductive hormones which is necessary in order to maintain brahmacharya for spiritual purposes. Prolonged periods in siddhasana result in noticeable tingling sensations in the mooladhara region, which may last for ten to fifteen minutes. This is caused by a reduction in the blood supply to the area and by a rebalancing of the pranic flow in the lower chakras. This posture redirects blood circulation to the lower spine and abdomen, toning the lumbar region of the spine, the pelvis and the abdominal organs, and balancing the reproductive system and the blood pressure.",Siddha Yoni Asana should not be practised by those with sciatica or sacral infections.,,,,,,,Beginners
53,Swastikasana (auspicious pose),"Sit with the legs straight in front of the body. Bend the left knee and place the sole of the left foot against the inside of the right thigh so there is no contact between the heel and the perineum. Bend the right knee and place the right foot in the space between the left thigh and calf muscle so that there is no 1 03 contact between the heel and the pubis. Grasp the toes of the left foot and pull them up into the space between the right calf and thigh. Adjust the position so that it is comfortable. The knees should be firmly on the floor. Straighten the spine. Place the hands on the knees in chin, jnana or chinmaya mudra.","Swastikasana is a healthy position to sit in, especially for those suffering from varicose veins, tired and aching muscles or fluid retention in the legs.",Swastikasana should not be performed by people with sciatica or sacral infections.,,,,,,"Sit with the legs straight in front of the body. Bend the left leg and place the sole against the inside of the right thigh. Similarly, bend the right leg and place the heel of the right foot on the floor in front of the left foot with the sole resting against the left shin. The heels will now be one in front of the other. The hands may be placed on the knees in jnana, chin or chinmaya mudra, or they may be placed in the lap. Close the eyes and relax the whole body.",Beginners
54,Dhyana Veerasana (hero's meditation pose),"Sit with both legs straight in front of the body. Bend the left leg underneath the right leg so that the left heel is touching the right buttock. Bring the right leg over the top of the bent left leg so that the right heel touches the left buttock. Adjust the right knee so that it is above the left knee. Place the hands either on the right knee, one on top of the other, or on top of each foot, whichever is comfortable. Hold the head, neck and back straight. Close the eyes and relax the whole body. Be aware of the breath at the nosetip.","This asana is quite easy and comfortable to sustain for long periods of time as a comparatively large area of the body is in contact with the floor. It is a useful alternative to other meditation asanas. The legs and hips are not rotated outwards as in the other meditation postures, rather the knees are brought to the centre. This affects the pelvic structure and stretches the outer rather than the inner muscles of the thigh. This position also massages and tones the pelvic and reproductive organs.",,,,,,,,Beginners
55,VAJRASANA,"Kneel on the floor with the knees close together.
Bring the big toes together and separate the heels.
Lower the buttocks onto the inside surface of the feet with
the heels touching the sides of the hips.
Place the hands on the knees, palms down.
The back and head should be straight but not tense.
Avoid excessive backward arching of the spine.
Close the eyes, relax the arms and the whole body.
Breathe normally and fix the attention on the flow of air
passing in and out of the nostrils.","Vajrasana alters the flow of blood and nervous impulses in the pelvic region and strengthens the pelvic
muscles. It is a preventative measure against hernia and
also helps to relieve piles. It reduces the blood flow to the
genitals and massages the nerve fibres which feed them,
making it useful in dilated veins of the testicles and
hydrocele in men. It alleviates menstrual disorders. It
increases the efficiency of the entire digestive system,
relieving stomach ailments such as hyperacidity and peptic
ulcer.","If there is pain in the thighs, the knees may be
separated slightly while maintaining the posture.
Beginners may find that their ankles ache after a short
time in vajrasana. To remedy this, release the posture, sit
with the legs stretched forward and shake the feet vigorously
one after the other until the stiffness disappears. Then
resume the posture. ",,"Physical - on the sensations in the legs, buttocks
and spine. When comfortable in the asana become aware
of the normal breathing process. This will bring tranquillity
to the mind if practised with the eyes closed.
Spiritual - on manipura chakra",,,,"Vajrasana is used by Muslims and Zen Buddhists as a position
for prayer and meditation. People who cannot perform padmasana
or siddlwsana, or find them uncomforlable, may sit in vajrasana
for meditation practice.",Beginners
56,ANANDA MADIRASANA,"Sit in vajrasana
Place the palms on top of the heels so that the fingers are
pointing towards each other. If this is uncomfortable, place
the palms just above the heels.
Keep the head and spine erect, close the eyes and relax the
whole body.
Fix the attention at bhrumadhya, the eyebrow centre.","This asana is used primarily to awaken ajna chakra.
It also calms the mind, relaxes the nervous system and
gives all the benefits of vajrasana. ","Ananda madirasana may be peiformed as an alternative to
classical meditation postures. 
","Slow and deep. Imagine that the breath is moving
in and out of the eyebrow centre. Inhale from the eyebrow
centre to ajna chakra and exhale from ajna to the eyebrow
centre. ","Physical - in the early stages of the practice, awareness should be on the physical sensation, then on the
breathing process. When sufficient relaxation has been
achieved, awareness may be transferred to the eyebrow
centre.
Spiritual - on ajna chakra. ",,,,"Ananda madirasana may be peiformed as an alternative to
classical meditation postures. 
",Beginners
57,PADADHIRASANA,"Sit in vajrasana
Cross the arms in front of the chest, placing the hands
under the opposite armpits with the thumbs pointing
upward, or, for a stronger effect, make fists of the hands
and place them under the armpits.
Close the eyes and become aware of the breathing process. ","The pressure under both the armpits helps to open
the nostrils to facilitate the practice of pranayama. Since
the breath flow in the right and left nostrils influences the
activities of the sympathetic and parasympathetic nervous
systems respectively, opening of the two nostrils induces a
state of autonomic balance","Padadhirasana may be used as a preparation
for pranayama. It is specially useful when one or both
nostrils are blocked.
If only one nostril is blocked, or partially blocked, place
the hand of that side underneath the opposite armpit.
Maintain the pressure for a n1inute or two, although
changes may sometimes occur within a few seconds",": Slow, deep and rhythmical. Practise until the flow
of the breath in both nostrils becomes equalized. ","Physical - on the breathing process in the nose.
Spiritual - on ajna chakra.",,,,,Beginners
58,BHADRASANA,"Sit in vajrasana
Separate the knees as far as possible, while keeping the
toes in contact with the floor.
Separate the feet just enough to allow the buttocks and
perineum to rest flat on the floor between the feet.
Try to separate the knees further, but do not strain. Place the hands on the knees, palms downward.
When the body is comfortable, practise nasikagra drishti,
concentration on the nosetip. As the eyes become tired,
close them for a short time and then resume nosetip gazing. ","This is predominantly a pose for spiritual aspirants
as it has a stimulating influence on mooladhara chakra. It
is an excellent meditation pose. The benefits are basically
the same as for vajrasana. ","If necessary, a folded blanket may be placed
under the buttocks. Whether a blanket is used or not, it is
important that the buttocks rest firmly on the ground in
order to stimulate mooladhara chakra. ",": Slow and rhythmic with awareness of the breath at
the nosetip.","Physical - sensations of opening and relaxing the
perineum, and on the natural breath or the nosetip.
Spiritual - on mooladhara chakra.",,,,,Beginners
59,SIMHASANA,"Sit in vajrasana with the knees about 45 em apart.
The toes of both feet should remain in contact with each
other.
Lean foiWard and place the palms of the hands on the
floor between the knees, with the fingers pointing towards
the body.
Straighten the arms fully and arch the back.
Rest the body on the straight arms.
Tilt the head back so that there is a comfortable amount of
tension in the neck.
Close the eyes and focus the inner gaze at the eyebrow
centre, performing shambhavi mudra.
The eyes may also be kept open, in which case gaze at a
point on the ceiling.
The mouth should be closed.
Relax the whole body and mind. ","In this posture there is a very definite extension of
the spinal cord and the body is absolutely fixed. There is
total physical stability.","Generally, simhasana is associated with the roaring lion posture, but the scriptures give that posture as a variation of
simhasana (see simhaga1janasana, the roaring lion, given in the
following practice).
In this asana the lion is sitting quietly, waiting for something to
happen. This is the mental attitude the mind has to adopt in order
to enter deep meditative states",,,,,,,Beginners
60,SIMHAGARJANASANA,"Sit in simhasana.
BSY C
Open the eyes and gaze at the eyebrow centre, adopting
shambhavi mudra.
Relax the whole body.
Keep the mouth closed.
Inhale slowly and deeply through the nose.
At the end of inhalation, open the mouth and extend the
tongue out as far as possible towards the chin.
While slowly exhaling, produce a clear, steady 'aaa' sound
from the throat, keeping the mouth wide open. Do not strain or force the sound in any way.
At the end of exhalation, close the mouth and breathe in.
This is one round. ","This is an excellent asana for the throat, nose, ears,
eyes and mouth, especially if performed facing the healing
rays of the early morning sun. It relieves frustration and
releases emotional tension. Tension is removed from the
chest and diaphragm. Simhagarjanasana is useful for
people who stutter or who are nervous and introverted. It
develops a strong and beautiful voice.
Other benefits are as for shambhavi mudra. ",,"Inhale slowly through the nose and then slowly
exhale through the mouth with the 'aaah' sound. ","Physical - on opening the chest, and the sensation
in the eyes and tongue. While inhaling, on the breath.
While exhaling, on the sound produced, the feeling of
emotional release, and the effect on the throat area.
Spiritual - on vishuddhi or ajna chakra",,,,": Move the tongue slowly from side to side, while
making a long 'aaa' sound. ",Beginners
61,Veerasana (hero's pose),"Sit in vajrasana.
Raise the right knee and place the right foot flat on the
floor beside the inside of the left knee.
Put the right elbow on the right knee and rest the chin on
the palm of the right hand.
Rest the left pahn on the left knee.
Close the eyes and relax.
Keep the body completely motionless and the spine and
head straight.
Hold for some time, then release the pose and relax the
knees.
Repeat with the left foot placed beside the right knee. ","This asana balances the mind, increases the power
of concentration, allows more awareness of the unconscious realms and induces physical and mental relaxation quickly. The thinking process beco1nes very clear and
precise. It is useful for those who think too 1nuch or who
have disturbed or uncontrollable thoughts. It is very good
for the kidneys, liver, reproductive and abdominal organs. ","Variation 2 should not be performed by
people with weakness in the knees or inflammatory conditions such as arthritis, osteoarthritis, etc. ","Inhale while raising the body from the floor.
Breathe normally in the final position.
Exhale while lowering the body","Physical - on maintaining balance and steadiness
in the upright position.
Spiritual - on swadhisthana chakra. ",,,,"Variation I: This asana may also be practised by sitting on the
heel so that it stimulates mooladhara chakra.
Variation 2: Sit on the heels in vajrasana.
Place the right foot on top of the left thigh as in the half
lotus posture. The foot should come up on the thigh as
near to the lower abdomen as is comfortable, and the right
knee should rest on the floor.
Relax the whole body.
Slowly rise onto the knees, using the hands and left leg as
levers and the right knee as a support.
The movement should be controlled without any jerking.
Place the palms together in front of the chest at the heart
centre in the prayer position.
Straighten the spine.
When balanced, raise the hands above the head, keeping
the palms together and the fingers pointing upward.
Hold the final position for as long as is comfortable.
Bring the hands back to the heart centre, feel the balance,
then gently and evenly lower the body down to the floor.
Repeat with the left foot on top of the right thigh.
Practise up to 3 times on each side. ",Beginners
62,MARJARI-ASANA ,"Sit in vajrasana.
Raise the buttocks and stand on the knees.
Lean fotward and place the hands flat on the floor beneath
the shoulders with the fingers facing fotward.
The hands should be in line with the knees; the arms and
thighs should be perpendicular to the floor.
The knees may be slightly separated so that they are well
aligned under the hips.
This is the starting position.
Inhale while raising the head and depressing the spine so
that the back becomes concave.
Expand the abdomen fully and fill the lungs with the
maximum amount of air. Hold the breath for 3 seconds.
Exhale while lowering the head and stretching the spine
upward. At the end of exhalation, contract the abdomen and pull
in the buttocks.
The head will now be between the arms, facing the thighs.
Hold the breath for 3 seconds, accentuating the arch of
the spine and the abdominal contraction.
This is one round. ","This asana improves the flexibility of the neck,
shoulders and spine. It gently tones the female reproductive system, giving relief from menstrual cramps and
leucorrhea. It may be safely practised during pregnancy;
forceful contraction of the abdomen, however, should be
avoided. ",,"Perform the movement breathing as slowly as is
comfortable. Aim at taking at least 5 seconds for both
inhalation and exhalation. ",": Physical - on the flexion of the spine from top to
bottom, and on the breath synchronized with the
movement.
Spiritual - on swadhisthana chakra",,,,,Beginners
63,VYAGHRASANA,"Assume the starting position for marjari-asana and look
fotward.
Relax the whole body.
Arching the back downwards, straighten the right leg,
stretching it up and back.
Bend the right knee.
Look up and bring the toes towards the back of the head.
Hold the breath for a few seconds in this position.
Straighten the right leg, bend the knee and swing the leg
under the hips.
Simultaneously, arch the back up and bend the head down,
bringing the knee towards the nose. The right foot should not touch the floor.
The thigh presses against the chest.
Hold for a few seconds while retaining the breath outside.
Move the foot straight back and again stretch the leg.
Bend the knee and continue with the slow swinging
movements.
After practising on one side, relax in marjar-asana.
Repeat with the other leg. ","This asana exercises and loosens the back by bending
it alternately in both directions and tones the spinal nerves.
It relaxes the sciatic nerves, relieving sciatica, and loosens
up the legs and hip joints. It tones the female reproductive
organs and is especially beneficial for women after childbirth and those who have given birth to many children. It
stretches the abdominal muscles, promotes digestion and
stimulates blood circulation. Weight is reduced from the
hips and thighs. ",,"Inhale while stretching the leg backward.
Retain in the final position.
Exhale while swinging the knee to the chest.","Physical - on the forward and backward stretching
of the spine and legs, and on the alternate compression
and stretching of the abdomen and chest. Be aware of the
balance, and the movement synchronized with the breath.
Spiritual - on swadhisthana chakra. ",,,,,Beginners
64,SHASHANKASANA,"Sit in vajrasana, placing the palms on the thighs just above
the knees.
Close the eyes and relax, keeping the spine and head
straight.
While inhaling, raise the arms above the head, keeping
them straight and shoulder width apart.
Exhale while bending the trunk forward from the hips,
keeping the arms and head straight and in line with the
trunk.
At the end of the movement, the hands and forehead
should rest on the floor in front of the knees. If possible, the arms and forehead should touch the floor
at the same time.
Bend the arms slightly so that they are fully relaxed and let
the elbows rest on the floor.
Retain the breath for up to 5 seconds in the final position.
Then simultaneously inhale and slowly raise the arms and
trunk to the vertical position. Keep the arms and head in
line with the trunk.
Breathe out while lowering the hands to the knees.
This is one round.
Practise 3 to 5 rounds","This asana stretches and strengthens the back muscles and separates the individual vertebrae from each other,
releasing pressure on the discs. Often nerve connections
emanating from the spinal cord are squeezed by these
discs, giving rise to various forms of backache.
This posture helps to relieve this problem in some cases
and encourages the discs to resume their correct position.
It also regulates the functioning of the adrenal glands. It
tones the pelvic muscles and the sciatic nerves and is
beneficial for both the male and female reproductive
organs. Regular practice relieves constipation. ","Not to be performed by people with very
high blood pressure, slipped disc or those who suffer from
vertigo. ",,,,,,"Variation I : Sit in vajrasana and close the eyes.
Hold the right wrist with the left hand behind the back.
Relax the whole body and close the eyes.
Inhale and then, while exhaling, slowly bend the trunk
forward from the hips so that the forehead rests on the
floor. Remain in the final position for a comfortable length
of time while breathing normally or deeply or in ujjayi.
Return to the starting position while inhaling.
Benefits: Gives the benefits of shashankasana. This variation
is more advisable for people with back problems.
Variation 2: Sit in vajrasana.
Place the fists in front of the lower abdomen.
Inhale and then, while exhaling, slowly bend forward until
the forehead touches the floor.
The fists will exert pressure on the lower abdominal organs.
Retain the breath in the final position for as long as is
comfortable.
Inhale while raising the trunk and head.
Practise 2 to 3 rounds.
Awareness: Physical - on the pressure of the fists in the abdomen in the final position.
Benefits: This variation massages and improves the efficiency
of the intestines and digestive organs, relieving ailments
such as constipation and excessive wind in addition to the
benefits derived from the basic form of the practice. ",Beginners
65,SHASHANK BHUJANGASANA,"Assume the starting position for marjari-asana.
Lower the buttocks onto the heels, moving into shashankasana with the arms outstretched in front of the
shoulders.
Then, to come into bhujangasana without moving the
position of the hands, slowly move the chest forward, sliding it just above the floor until it is in line with the
hands. Move the chest further forward and then upward,
as the arms straighten, and lower the pelvis to the floor.
Ideally, the nose and chest should just brush the surface of
the floor as the body moves forward like the movement of
a snake. Do not strain to achieve this.
In the final position, the arms should be straight, the back
arched and the head raised as in bhujangasana, even if
the navel does not touch the floor.
Hold this position for a few seconds.
Slowly raise the buttocks and move backwards, keeping
the arms straight, returning to shashankasana.
This is one round.
Relax the whole body for a short time before starting
another round.
Practise 5 to 7 rounds. ","Shashank bhujangasana gives similar benefits to
bhujangasana and shashankasana. However, the benefits
of the latter postures come from maintaining the final
position, whereas shashank bhujangasana acts mainly by
alternately flexing the spine backward and forward.
This asana gently tones the male and female reproductive
organs, alleviates menstrual disorders and is an excellent
post-natal asana, strengthening and tightening the abdominal and pelvic region. It tones and improves the
functioning of the liver, kidneys and other visceral organs.
It also stregthens the back muscles","Not to be performed by people with very
high blood pressure, slipped disc or those who suffer from
vertigo. People suffering from peptic ulcer, hernia, intestinal tuberculosis or hyperthyroidism should not practise
this asana without the guidance of a competent teacher","Inhale on the forward movement.
Hold the breath for a few seconds in the final position.
Exhale while returning to shashankasana. ","Physical - on the flexibility of the spine :and the
sensation in the arms, shoulders, chest and abdomen; on
synchronizing the movement with the breath.
Spiritual - on swadhisthana chakra. ",,,,,Beginners
66,Naman Pranamasana (prostration pose),"Sit in vajrasana. Grasp the lower calves just above the
ankles, keeping the thumbs uppermost.
Slowly bend forward and place the crown of the head on
the floor in front of the knees. (Place a small folded blanket
under the head.)
Raise the buttocks as high as possible, allowing the chin to
press against the chest, until the thighs are as vertical as
comfortable.
Remain in the final position for 5 to 20 seconds.
Lower the buttocks and come back into shashankasana for
a short time before returning to vajrasana.
Practise this asana 5 times. ","As a preparatory practice for sirshasana (the headstand pose) it allows the brain to gradually adapt to the
extra pressure in the head when the body is inverted. It
gives many of the benefits of sirshasana, but to a lesser
degree. ","Not to be performed by people with
vertigo, weak neck or high blood pressure. Cautions for
inverted postures apply. ","Inhale in vajrasana.
Exhale while lowering the head to the floor.
Inhale while raising the buttocks.
Hold the breath in the final position or breathe normally
if remaining in the position for more than a few seconds. ","Physical - on the the increased pressure on the
crown of the head in the final position, and on the synchronization of the breath with the physical movement,
Spiritual - on sahasrara chakra. ",,,,,Beginners
67,Ashwa Sanchalanasana (equestrian pose),"Sit in vajrasana.
Stand up on the knees with the knees and ankles slightly
apart and the arms by the sides.
Starting with the right side, take a big step fotward, placing
the right foot firmly on the floor so that the thigh is
horizontal and the ankle is before or directly under the
knee.
This is the starting position. Centre yourself and inhale
deeply.
Exhale and lunge fotward smoothly, transferring the body
weight onto the right foot.
The left leg becomes stretched back fully as the trunk
comes forward, with the back straight.
Do not strain. Depending on flexibility, the fingertips or
palms may touch the floor, or bend fotward slightly so that
the fingertips reach the floor.
In the final posture, the right foot, both hands, left knee
and toes support the body. The back is slightly arched and
the head faces fotward.
To release the posture, inhale and roll the body weigThis is one round. Continue with the forward and backward
lunges on this side.
After practising on one side, again stand on both knees,
return to vajrasana and relax.
Stand on both knees, take a big step forward with the left
foot into the starting position and practise an equal number
of rounds on this side.
Practise up to 10 rounds on each side. ht
back smoothly, centering in the starting position. ","This asana tones the abdominal organs and gives a
good stretch to the lower back. It strengthens the hips,
legs, ankles and feet, and induces balance in the nervous
system. ","Not for people with injured knees or
ankles. ","Breathe normally in vajrasana and while coming
into the starting position.
Inhale deeply in the starting position.
Exhale while moving forward into the posture.
Hold the breath for a few seconds while feeling the balance.
Inhale while returning to the starting position.
Breathe normally returning to vajrasana ","Physical - on the back, thigh muscles, knees,
ankles and Achilles tendons; on the balance and synchronizing the movement with the breath.
Spiritual - on swadhisthana chakra.",,,,,Beginners
